10,2,0,5,2
10,2,1,5,2
10,2,2,5,2
12,2,0,6,2
12,2,2,6,2
12,4,0,6,2
12,4,2,6,2
12,2,0,4,2
12,2,4,4,2
12,3,4,4,2
12,2,0,3,2
12,2,5,3,2
12,2,9,3,2
12,3,4,3,2
14,2,0,7,2
14,2,4,7,2
14,2,8,7,2
14,3,0,7,2
14,3,8,7,2
14,4,0,7,2
14,4,1,7,2
14,4,2,7,2
14,4,3,7,2
15,2,0,5,2
15,2,3,5,2
15,2,4,5,2
15,2,10,5,2
15,3,4,5,2
15,3,6,5,2
15,3,10,5,2
15,4,0,5,2
15,4,1,5,2
15,4,2,5,2
16,2,0,8,2
16,2,6,8,2
16,2,7,8,2
16,2,15,8,2
16,3,0,8,1
16,3,1,8,2
16,3,2,8,2
16,2,0,4,2
16,2,2,4,2
16,2,6,4,2
16,4,0,4,2
16,4,1,4,2
16,4,5,4,2
20,2,0,5,2
10,2,3,5,2
20,2,13,5,2
20,2,16,5,2
20,2,19,5,2
20,3,2,5,2
20,3,13,5,2
20,3,16,5,2
20,3,19,5,2
24,2,1,6,2
15,5,13,5,2
27,2,9,9,2
27,2,11,9,2
28,2,0,7,2
28,2,2,7,2
30,2,0,6,2
32,2,8,8,2
32,2,9,8,2
36,2,1,6,2


-- NICHT FALSCH ABER NOCHMAL ZU MACHEN --
35,2,0,7,0
27,2,0,9,0
27,2,9,9,0
36,2,0,6,0


